,Date,bitcoin,ethereum,tether,ripple,binancecoin,solana,usd-coin,dogecoin,cardano,staked-ether,tron,wrapped-bitcoin,hedera-hashgraph,stellar,chainlink,wrapped-steth,litecoin,avalanche-2,leo-token,sui,the-open-network,shiba-inu,usds,mantra-dao,polkadot,hyperliquid,weth,bitcoin-cash,ethena-usde,bitget-token,wrapped-eeth,uniswap,monero,near,whitebit,aptos,dai,ondo-finance,pepe,internet-computer,susds,aave,ethereum-classic,bittensor,okb,gatechain-token,official-trump,mantle,coinbase-wrapped-btc,polygon-ecosystem-token,vechain,sonic-3,celestia,algorand,tokenize-xchange,filecoin,kaspa,first-digital-usd,crypto-com-chain,jupiter-exchange-solana,cosmos,render-token,arbitrum,lombard-staked-btc,fasttoken,optimism,fetch-ai,kucoin-shares,maker,story-2,binance-peg-weth,quant-network,injective-protocol,solv-btc,kelp-dao-restaked-eth,xdce-crowd-sale,ethena,immutable-x,blockstack,worldcoin-wld,theta-token,sei-network,nexo,the-graph,lido-dao,rocket-pool-eth,usual-usd,movement,bonk,dexe,binance-staked-sol,flare-networks,mantle-staked-ether,berachain-bera,solv-protocol-solvbtc-bbn,jasmycoin,eos,gala,telcoin,tezos
0,2015-03-06,3788784931.469999,,251600.0,346941681.405451,,,,13850802.017666264,,,,,,8833427.017859152,,,70585394.17744094,,,,,,,,,,,,,,,,3195626.759851905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2015-03-07,3834877371.4562297,,251600.0,337560567.238873,,,,13822358.833760057,,,,,,6049037.585255566,,,71105473.62119067,,,,,,,,,,,,,,,,3062423.5451506195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2015-03-08,3821054905.8,,251600.0,333795358.151607,,,,13782366.853683824,,,,,,8338282.911767134,,,70405502.7561956,,,,,,,,,,,,,,,,3228256.5006771223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2015-03-09,4027806171.9600015,,251600.0,341038599.361856,,,,14034769.401847294,,,,,,7826864.776133075,,,71625399.2527914,,,,,,,,,,,,,,,,4415634.243171683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015-03-10,4043022165.1175,,251600.0,322691182.199331,,,,13704906.459467348,,,,,,9246398.8785344,,,74358858.35113509,,,,,,,,,,,,,,,,5263185.291609447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2015-03-11,4122115211.9,,251600.0,321670108.548547,,,,14110525.062943518,,,,,,10290904.443838626,,,75015217.49181716,,,,,,,,,,,,,,,,4750839.116407635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2015-03-12,4095470764.185,,251600.0,330381143.131798,,,,14005374.717923284,,,,,,11245468.19644345,,,76252007.52081333,,,,,,,,,,,,,,,,4535331.532484576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2015-03-13,4014523120.5749984,,251600.0,336284225.175393,,,,13856093.866548069,,,,,,8847579.61487723,,,74992190.92781237,,,,,,,,,,,,,,,,4322265.647230168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2015-03-14,3924198780.6125,,251600.0,353642477.238721,,,,14048975.49007999,,,,,,10680027.541782023,,,74316085.31887148,,,,,,,,,,,,,,,,4451330.619101255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2015-03-15,3977863688.6375,,251600.0,345505796.584036,,,,13957425.77656962,,,,,,4606088.573857508,,,75212484.18593943,,,,,,,,,,,,,,,,4615493.686790896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2015-03-16,4046186762.512501,,251600.0,350132536.564151,,,,14232081.963148177,,,,,,9116807.889729314,,,75578293.92860764,,,,,,,,,,,,,,,,5354526.98821669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2015-03-17,3967004055.1925,,251600.0,348345657.675279,,,,14137909.455362145,,,,,,7727447.732221488,,,74035584.3945308,,,,,,,,,,,,,,,,5053635.8198751705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2015-03-18,3566978130.845,,251600.0,336858579.103959,,,,12922979.167017316,,,,,,9286742.50888334,,,65146014.53691354,,,,,,,,,,,,,,,,4295437.232841746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2015-03-19,3629235646.08,,251600.0,334752614.699217,,,,13181321.925050246,,,,,,9302448.854693737,,,66203211.48706716,,,,,,,,,,,,,,,,4594548.331120232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2015-03-20,3642718765.4375,,251600.0,333157187.119867,,,,13015294.656422662,,,,,,11735917.920904243,,,66267918.70087314,,,,,,,,,,,,,,,,4361994.442876278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2015-03-21,3623906198.45,,251600.0,324892872.258834,,,,12910396.999198675,,,,,,12484446.217294326,,,65572768.79026892,,,,,,,,,,,,,,,,5078780.951803177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2015-03-22,3740905133.6624985,,251600.0,325371500.532639,,,,13044561.46666189,,,,,,9721646.938197004,,,67442234.99295685,,,,,,,,,,,,,,,,5311336.172470639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2015-03-23,3717118257.44,,251600.0,328594264.242926,,,,13490933.088858176,,,,,,13741458.528806904,,,66961566.55560565,,,,,,,,,,,,,,,,5215041.337462787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2015-03-24,3426730125.8925,,251600.0,312735714.1041869,,,,12767257.317178398,,,,,,12576778.412620854,,,62934348.63342049,,,,,,,,,,,,,,,,4822237.219766749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2015-03-25,3443109527.925,,251600.0,291484618.747245,,,,12852096.817252005,,,,,,12482035.32864975,,,63229420.79839855,,,,,,,,,,,,,,,,5287819.076728296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2015-03-26,3462026772.6875,,251600.0,279167917.834663,,,,12963689.060181184,,,,,,12668435.382136952,,,63660006.04501281,,,,,,,,,,,,,,,,5097142.396437662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2015-03-27,3457360133.78,,251600.0,285039091.326671,,,,12586160.70437458,,,,,,12762777.929574504,,,63743490.80622751,,,,,,,,,,,,,,,,5503490.428178077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2015-03-28,3526137495.545,,251600.0,282996944.0251029,,,,12880285.24846278,,,,,,12240578.047076795,,,63910309.60078962,,,,,,,,,,,,,,,,5559910.575126086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2015-03-29,3384336375.9449987,,251600.0,282996944.025103,,,,12457250.040748648,,,,,,9871283.023610504,,,62278367.76249495,,,,,,,,,,,,,,,,4966222.030897492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2015-03-30,3449082800.73,,251600.0,282996944.0251031,,,,12459712.394418128,,,,,,10724374.592176516,,,63064218.43378149,,,,,,,,,,,,,,,,6161019.506671151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2015-03-31,3403299617.6200013,,251600.0,282996944.0251029,,,,12303088.053864932,,,,,,11979185.573196102,,,62021503.406679325,,,,,,,,,,,,,,,,6255609.31101927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2015-04-01,3456621444.825,,,243813242.67626703,,,,12477676.075119471,,,,,,11956846.070790475,,,62794932.303207,,,,,,,,,,,,,,,,7009380.008913184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2015-04-02,3535619144.775,,251600.0,252364734.50158292,,,,12553265.501982383,,,,,,10840149.086959742,,,63599787.86341251,,,,,,,,,,,,,,,,6787844.387889779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2015-04-03,3554522140.4999986,,251600.0,278306386.941814,,,,12572282.10206807,,,,,,11424275.30429572,,,63821416.81839975,,,,,,,,,,,,,,,,6819223.694192268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
